Date,CPI-U,Month,Year,Item,Region
2/1/1980,84.1,Feb,1980,Food at home,NY Metro
3/1/1980,84.6,Mar,1980,Food at home,NY Metro
4/1/1980,85.4,Apr,1980,Food at home,NY Metro
5/1/1980,85.7,May,1980,Food at home,NY Metro
6/1/1980,86.7,Jun,1980,Food at home,NY Metro
7/1/1980,88,Jul,1980,Food at home,NY Metro
8/1/1980,89.3,Aug,1980,Food at home,NY Metro
9/1/1980,90.1,Sep,1980,Food at home,NY Metro
10/1/1980,90.4,Oct,1980,Food at home,NY Metro
11/1/1980,90.9,Nov,1980,Food at home,NY Metro
12/1/1980,91.2,Dec,1980,Food at home,NY Metro
1/1/1980,84.3,Jan,1980,Food at home,NY Metro
2/1/1981,92.5,Feb,1981,Food at home,NY Metro
3/1/1981,93.4,Mar,1981,Food at home,NY Metro
4/1/1981,93.9,Apr,1981,Food at home,NY Metro
5/1/1981,93.8,May,1981,Food at home,NY Metro
6/1/1981,94.3,Jun,1981,Food at home,NY Metro
7/1/1981,95.4,Jul,1981,Food at home,NY Metro
8/1/1981,95.6,Aug,1981,Food at home,NY Metro
9/1/1981,96.2,Sep,1981,Food at home,NY Metro
10/1/1981,95.4,Oct,1981,Food at home,NY Metro
11/1/1981,94.7,Nov,1981,Food at home,NY Metro
12/1/1981,95,Dec,1981,Food at home,NY Metro
1/1/1981,91.6,Jan,1981,Food at home,NY Metro
2/1/1982,98.1,Feb,1982,Food at home,NY Metro
3/1/1982,98.2,Mar,1982,Food at home,NY Metro
4/1/1982,98.3,Apr,1982,Food at home,NY Metro
5/1/1982,98.5,May,1982,Food at home,NY Metro
6/1/1982,100.1,Jun,1982,Food at home,NY Metro
7/1/1982,99.6,Jul,1982,Food at home,NY Metro
8/1/1982,98.5,Aug,1982,Food at home,NY Metro
9/1/1982,98.7,Sep,1982,Food at home,NY Metro
10/1/1982,98.6,Oct,1982,Food at home,NY Metro
11/1/1982,96.9,Nov,1982,Food at home,NY Metro
12/1/1982,97.1,Dec,1982,Food at home,NY Metro
1/1/1982,97,Jan,1982,Food at home,NY Metro
